# Extracted packages (≤ 50 MB)
# Format: disc/package_name  compressed_size_MB  status

1/fonts-orya  0  extracted
1/fonts-pagul  .5  extracted
1/fonts-sahadeva  .1  extracted
1/fonts-samyak  1.8  extracted
1/fonts-sarai  .1  extracted
1/fonts-sil-abyssinica  1.0  extracted
1/fonts-sil-ezra  .3  extracted
1/fonts-sil-nuosusil  .1  extracted
1/fonts-sil-padauk  1.3  extracted
1/fonts-sil-scheherazade  .9  extracted
1/fonts-smc-anjalioldlipi  .6  extracted
1/fonts-smc-chilanka  1.8  extracted
1/fonts-smc-dyuthi  .4  extracted
1/fonts-smc  0  extracted
1/fonts-smc-gayathri  1.7  extracted
1/fonts-smc-karumbi  1.4  extracted
1/fonts-smc-keraleeyam  .5  extracted
1/fonts-smc-manjari  3.0  extracted
1/fonts-smc-meera  .6  extracted
1/fonts-smc-rachana  1.4  extracted
1/fonts-smc-raghumalayalamsans  .1  extracted
1/fonts-smc-suruma  .2  extracted
1/fonts-smc-uroob  .3  extracted
1/fonts-taml  0  extracted
1/fonts-telu-extra  .2  extracted
1/fonts-telu  0  extracted
1/fonts-teluguvijayam  1.8  extracted
1/fonts-tibetan-machine  1.1  extracted
1/fonts-tlwg  7.8  extracted
1/fonts-ubuntu  7.8  extracted
1/fonts-ukij-uyghur  8.1  extracted
1/fonts-urw-base35  10.6  extracted
1/fonts-yrsa-rasa  12.7  extracted
1/foomatic-db  7.1  extracted
1/freerdp2  2.2  extracted
1/freetds  2.9  extracted
1/freetype  4.1  extracted
1/friendly-recovery  0  extracted
1/fuse3  2.8  extracted
1/gamemode  0  extracted
1/gawk  2.4  extracted
1/gcab  0  extracted
1/gcc-11-cross  0  extracted
1/gcc-12-cross  .1  extracted
1/gcc-defaults  0  extracted
1/gce-compute-image-packages  0  extracted
1/gcr  .9  extracted
1/gdb  21.4  extracted
1/gdisk  .2  extracted
1/gdk-pixbuf  6.1  extracted
1/gedit  6.5  extracted
1/geocode-glib  0  extracted
1/germinate  0  extracted
1/gettext  9.3  extracted
1/git  7.0  extracted
1/gjs  .6  extracted
1/glance  2.0  extracted
1/glibc-doc-reference  .7  extracted
1/glibc  18.1  extracted
1/glib-networking  .2  extracted
1/gnome-control-center  6.4  extracted
1/gnome-online-accounts  .8  extracted
1/gnome-session  .5  extracted
1/gnome-shell-extension-appindicator  0  extracted
1/gnome-shell-extension-desktop-icons-ng  .1  extracted
1/gnome-shell-extension-ubuntu-dock  .2  extracted
1/gnome-themes-extra  2.8  extracted
1/gnome-user-docs  8.9  extracted
1/gnu-efi  .1  extracted
1/gnupg2  6.9  extracted
1/gnu-standards  .1  extracted
1/gnutls28  5.9  extracted
1/gobject-introspection  1.0  extracted
1/graphene  .2  extracted
1/grep  1.5  extracted
1/groff  3.9  extracted
1/grub2  7.3  extracted
1/grub2-unsigned  7.4  extracted
1/grub-legacy-ec2  0  extracted
1/gsettings-desktop-schemas  .6  extracted
1/gsettings-ubuntu-touch-schemas  0  extracted
1/gspell  .4  extracted
1/gssdp  1.1  extracted
1/gst-plugins-base1.0  3.1  extracted
1/gst-plugins-good1.0  3.3  extracted
1/gstreamer1.0  2.6  extracted
1/gtk+2.0  12.1  extracted
1/gtk2-engines-murrine  .2  extracted
1/gtk+3.0  21.8  extracted
1/gtk4  18.0  extracted
1/gtkmm-documentation  2.3  extracted
1/gtksourceview4  1.1  extracted
1/guile-2.2  3.5  extracted
1/gupnp  .1  extracted
1/gvfs  1.1  extracted
1/gzip  1.1  extracted
1/harfbuzz  9.1  extracted
1/heat-dashboard  1.0  extracted
1/heat  2.3  extracted
1/hfst-ospell  .1  extracted
1/hibagent  0  extracted
1/hicolor-icon-theme  0  extracted
1/hostname  0  extracted
1/humanity-icon-theme  1.6  extracted
1/hunspell-ar  .7  extracted
1/hunspell-be  .3  extracted
1/hunspell-bo  0  extracted
1/hunspell-br  2.3  extracted
1/hunspell-ca  .5  extracted
1/hunspell-dict-ko  15.0  extracted
1/hunspell-dz  0  extracted
1/hunspell-fr  .3  extracted
1/hunspell  .4  extracted
1/hunspell-kk  .2  extracted
1/hunspell-lv  .3  extracted
1/hunspell-ml  .5  extracted
1/ibus  3.5  extracted
1/igerman98  .4  extracted
1/ipxe  3.8  extracted
1/java-common  0  extracted
1/json-glib  1.2  extracted
1/libblockdev  .3  extracted
1/libcaca  1.1  extracted
1/libcanberra  .3  extracted
1/libdazzle  .4  extracted
1/libeatmydata  .3  extracted
1/libgdata  .8  extracted
1/libgpg-error  .9  extracted
1/libgtop2  .7  extracted
1/libgudev  0  extracted
1/libgusb  0  extracted
1/libgweather  2.7  extracted
1/libical3  .8  extracted
1/libmanette  0  extracted
1/libmbim  .2  extracted
1/libnotify  .1  extracted
1/libpeas  .1  extracted
1/libqb  .4  extracted
1/libqmi  1.4  extracted
1/libreoffice-dictionaries  47.2  extracted
1/librest  0  extracted
1/librsvg  19.8  extracted
1/libsecret  .1  extracted
1/libsoup2.4  1.4  extracted
1/libwnck3  .4  extracted
1/lvm2  1.6  extracted
1/mathjax  9.5  extracted
1/modemmanager  1.2  extracted
1/mysql-defaults  0  extracted
1/network-manager  5.2  extracted
1/pango1.0  2.6  extracted
1/pkgbinarymangler  0  extracted
1/policykit-1  1.4  extracted
1/poppler  1.7  extracted
1/python3-defaults  .1  extracted
1/python-docutils  1.4  extracted
1/rubygems  12.3  extracted
1/scowl  2.4  extracted
1/session-migration  0  extracted
1/snapd-glib  .1  extracted
1/strip-nondeterminism  .2  extracted
1/tnftp  .6  extracted
1/ubuntu-drivers-common  .1  extracted
1/udisks2  1.6  extracted
1/util-linux  5.4  extracted
1/uzbek-wordlist  .4  extracted
1/vera  .2  extracted
1/webkit2gtk  38.2  extracted
1/fonts-larabie  9.4  extracted
1/gsfonts-other  .7  extracted
1/xfonts-scalable-nonfree  3.1  extracted
1/adium-theme-ubuntu  0  extracted
1/aglfn  0  extracted
1/akonadi  1.5  extracted
1/analitza  .3  extracted
1/ant  3.2  extracted
1/ant-contrib  .1  extracted
1/antiword  .3  extracted
1/antlr3  .7  extracted
1/antlr4  2.5  extracted
1/antlr  1.7  extracted
1/appstream-glib  2.2  extracted
1/apt-clone  .4  extracted
1/apt-file  0  extracted
1/apt-xapian-index  0  extracted
1/arc-theme  1.0  extracted
1/arctica-greeter  3.4  extracted
1/asciidoc  1.1  extracted
1/asciidoctor  1.5  extracted
1/aspectj  5.2  extracted
1/aspell-he  .2  extracted
1/augeas  2.4  extracted
1/autoconf2.13  .4  extracted
1/autoconf2.69  1.1  extracted
1/autoconf-archive  .6  extracted
1/autoconf-dickey  .8  extracted
1/autogen  1.0  extracted
1/automake1.11  1.0  extracted
1/ayatana-settings  0  extracted
1/ayatana-webmail  0  extracted
1/babel-minify  .2  extracted
1/bandit  .4  extracted
1/bats  0  extracted
1/bf-utf  .9  extracted
1/biber  1.5  extracted
1/binutils-mingw-w64  0  extracted
1/black  1.1  extracted
1/blends  .1  extracted
1/bnd  2.8  extracted
1/breathe  .2  extracted
1/breeze  41.0  extracted
1/breeze-icons  2.0  extracted
1/breezy  8.3  extracted
1/bsdmainutils  .1  extracted
1/bsh  .7  extracted
1/budgie-artwork  4.6  extracted
1/budgie-desktop  2.0  extracted
1/budgie-desktop-environment  .1  extracted
1/budgie-extras  9.5  extracted
1/budgie-welcome  0  extracted
1/bzr  0  extracted
1/caja-admin  0  extracted
1/caja-mediainfo  .1  extracted
1/caja-rename  0  extracted
1/calamares-settings-ubuntu  5.2  extracted
1/calibre  40.9  extracted
1/cargo  9.4  extracted
1/caspar  .1  extracted
1/catch2  .6  extracted
1/catfish  .2  extracted
1/cdbs  .1  extracted
1/check  .7  extracted
1/checkpolicy  0  extracted
1/chrpath  .1  extracted
1/cinnamon-desktop  .4  extracted
1/cinnamon-translations  12.0  extracted
1/cli-common  0  extracted
1/closure-compiler  1.8  extracted
1/cmdreader  0  extracted
1/cmdtest  0  extracted
1/cme  0  extracted
1/cmocka  0  extracted
1/coderay  .2  extracted
1/coffeescript  .5  extracted
1/comic-neue  1.3  extracted
1/create-resources  3.3  extracted
1/cscope  .4  extracted
1/cssmin  0  extracted
1/cucumber  .2  extracted
1/cup  0  extracted
1/cvs  4.6  extracted
1/cvsps  0  extracted
1/cxxtest  .2  extracted
1/cython  2.0  extracted
1/darts  .2  extracted
1/datefudge  0  extracted
1/dblatex  1.9  extracted
1/dbus-broker  .2  extracted
1/debiandoc-sgml  0  extracted
1/debian-keyring  30.9  extracted
1/deja-dup-caja  0  extracted
1/dejagnu  .5  extracted
1/derby  7.7  extracted
1/desktop-base  2.5  extracted
1/dh-buildinfo  0  extracted
1/dhelp  0  extracted
1/dh-fortran-mod  0  extracted
1/dh-linktree  0  extracted
1/dh-lua  0  extracted
1/dh-python  .1  extracted
1/dh-r  0  extracted
1/dh-runit  0  extracted
1/dh-vim-addon  0  extracted
1/dietlibc  .6  extracted
1/discodos  19.1  extracted
1/dist  .5  extracted
1/dkg-handwriting  .1  extracted
1/docbook2x  .7  extracted
1/docbook5-xml  .8  extracted
1/docbook  .4  extracted
1/docbook-dsssl  .3  extracted
1/docbook-to-man  .1  extracted
1/docbook-utils  .1  extracted
1/docbook-xsl  40.5  extracted
1/doxygen  4.8  extracted
1/doxyqml  0  extracted
1/dpkg-awk  0  extracted
1/dpkg-source-gitarchive  0  extracted
1/d-shlibs  0  extracted
1/eclipse-debian-helper  0  extracted
1/eglexternalplatform  0  extracted
